ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1685258	1.10e-01	5.69e-02	-1.944641	-4.982053	-0.1746983	557128932	TMEM14B	transmembrane protein 14B
ILMN_2370738	1.51e-01	8.41e-02	1.759542	-4.98234	0.2652978	300797298	SLC24A4	solute carrier family 24 member 4
ILMN_1729450	2.38e-01	1.47e-01	-1.47006	-4.983581	-0.287887	304766522	C16orf62	chromosome 16 open reading frame 62
ILMN_1759915	1.10e-01	5.74e-02	1.941039	-4.98398	0.1210926	300360513	ARPC1A	actin related protein 2/3 complex subunit 1A
ILMN_2133675	1.14e-01	5.96e-02	-1.923888	-4.984257	-0.2047675	182765452	SGSH	N-sulfoglucosamine sulfohydrolase
ILMN_1662973	1.64e-01	9.32e-02	1.708722	-4.984761	0.220458	67782352	CD82	CD82 molecule
ILMN_1773553	2.40e-01	1.49e-01	1.464721	-4.984947	0.2700824	NA		
ILMN_1740276	2.17e-01	1.31e-01	1.531415	-4.985612	0.3448949	226342874	CLDN9	claudin 9
ILMN_1712432	1.13e-01	5.92e-02	1.926706	-4.985706	0.1162009	523425732	PSMD2	proteasome 26S subunit, non-ATPase 2
ILMN_1780560	1.64e-01	9.31e-02	-1.709254	-4.986049	-0.2683389	42794777	MYO18A	myosin XVIIIA
ILMN_1680145	1.97e-01	1.16e-01	1.594964	-4.987102	0.2669783	119393884	SART1	squamous cell carcinoma antigen recognized by T-cells 1
ILMN_2408179	1.38e-01	7.52e-02	1.813343	-4.987451	0.1611196	149158689	PRRC2A	proline rich coiled-coil 2A
ILMN_1794539	2.35e-01	1.45e-01	-1.477709	-4.987553	-0.3223137	197304797	KIF11	kinesin family member 11
ILMN_1789407	1.75e-01	1.01e-01	-1.66765	-4.988012	-0.3947242	205277365	TVP23C	trans-golgi network vesicle protein 23 homolog C (S. cerevisiae)
ILMN_2047112	1.32e-01	7.14e-02	1.838788	-4.988819	0.4162004	39930354	DPCD	deleted in primary ciliary dyskinesia homolog (mouse)
ILMN_1769546	1.18e-01	6.24e-02	1.9022	-4.989868	0.1892065	336088634	RIN2	Ras and Rab interactor 2
ILMN_2212590	1.39e-01	7.64e-02	1.806023	-4.990234	0.1968526	756761771	TMEM170A	transmembrane protein 170A
ILMN_2401057	1.11e-01	5.75e-02	-1.939863	-4.990711	-0.1370113	66933004	CANX	calnexin
ILMN_2057369	2.84e-01	1.84e-01	1.345984	-4.990764	0.2899991	222352103	ZNF396	zinc finger protein 396
ILMN_1651949	1.61e-01	9.12e-02	1.719294	-4.992599	0.1544265	393715124	SCYL3	SCY1 like pseudokinase 3
ILMN_2409167	1.10e-01	5.71e-02	-1.943084	-4.993066	-0.1841794	216547999	ANXA2	annexin A2
ILMN_2103480	2.01e-01	1.20e-01	-1.580534	-4.993413	-0.2126746	61676194	ZNF320	zinc finger protein 320
ILMN_1805800	1.14e-01	5.97e-02	1.922692	-4.993612	0.1513113	196049370	RAB5A	RAB5A, member RAS oncogene family
ILMN_1807515	1.72e-01	9.84e-02	-1.681123	-4.994087	-0.2390017	46094083	CSTF2T	cleavage stimulation factor subunit 2, tau variant
ILMN_1719985	1.12e-01	5.87e-02	1.930426	-4.99424	0.1823212	105554405	FEM1A	fem-1 homolog A
ILMN_1810392	2.32e-01	1.43e-01	-1.486439	-4.994464	-0.3358916	732170477	ZNHIT2	zinc finger HIT-type containing 2
ILMN_2175447	1.42e-01	7.79e-02	-1.796738	-4.994779	-0.1920133	NA		
ILMN_1698166	1.56e-01	8.76e-02	1.739175	-4.995501	0.2228497	154426301	C21orf91	chromosome 21 open reading frame 91
ILMN_1848284	2.85e-01	1.84e-01	-1.344526	-4.995553	-0.3289707	21845900		
ILMN_1657680	1.63e-01	9.24e-02	-1.712574	-4.995778	-0.1776591	45935390	CCDC69	coiled-coil domain containing 69
ILMN_1801421	1.12e-01	5.84e-02	-1.933277	-4.995906	-0.1392736	195234784	EMD	emerin
ILMN_1777726	1.73e-01	9.97e-02	1.674636	-4.996244	0.1934053	76257390	USP48	ubiquitin specific peptidase 48
ILMN_1714808	2.17e-01	1.31e-01	-1.533375	-4.997081	-0.5305482	NA		
ILMN_1724863	1.16e-01	6.11e-02	1.911678	-4.997204	0.1281526	371875636	TICAM1	toll like receptor adaptor molecule 1
ILMN_1689294	2.57e-01	1.62e-01	-1.416498	-4.9976	-0.2518865	255308893	SNORD14D	small nucleolar RNA, C/D box 14D
ILMN_2344988	2.28e-01	1.40e-01	-1.497935	-4.997914	-0.2155769	91199541	KMT2E	lysine methyltransferase 2E
ILMN_1857335	1.97e-01	1.17e-01	1.593551	-4.998076	0.3082664	21751421	LOC286254	uncharacterized LOC286254
ILMN_2150352	1.42e-01	7.83e-02	1.794271	-4.998834	0.2067133	558472907	CBWD5	COBW domain containing 5
ILMN_1773814	2.69e-01	1.72e-01	-1.38368	-4.999035	-0.2781638	312176411	MUSTN1	musculoskeletal, embryonic nuclear protein 1
ILMN_2307032	1.27e-01	6.85e-02	-1.857983	-4.999481	-0.212836	221136761	OSBPL5	oxysterol binding protein like 5
ILMN_2113016	1.80e-01	1.04e-01	1.651044	-4.99966	0.2725671	47078274	GID4	GID complex subunit 4 homolog
ILMN_1727331	2.19e-01	1.33e-01	-1.525635	-4.999793	-0.2484875	223941902	LOC202181	SUMO interacting motifs containing 1 pseudogene
ILMN_1671583	9.83e-02	5.00e-02	2.004433	-4.999818	0.2649921	223468619	MKRN1	makorin ring finger protein 1
ILMN_1678579	1.18e-01	6.22e-02	1.903619	-5.000555	0.1286114	169790951	CPT2	carnitine palmitoyltransferase 2
ILMN_1686283	2.27e-01	1.39e-01	1.503191	-5.001964	0.316774	NA		
ILMN_1736806	1.37e-01	7.44e-02	1.818505	-5.002058	0.1433251	63054863	PAG1	phosphoprotein membrane anchor with glycosphingolipid microdomains 1
ILMN_1781104	2.43e-01	1.51e-01	1.454828	-5.003008	0.3642041	662033896	MAP2K7	mitogen-activated protein kinase kinase 7
ILMN_1810488	1.16e-01	6.12e-02	1.911076	-5.003355	0.1200674	217272827	NFYC	nuclear transcription factor Y subunit gamma
ILMN_1873300	1.29e-01	6.96e-02	1.850388	-5.003706	0.3197775	15932758		
ILMN_1906541	2.30e-01	1.41e-01	1.493583	-5.003726	0.1986296	5811655		
ILMN_1705876	1.19e-01	6.29e-02	1.898253	-5.003966	0.2699965	808154266	NAP1L1	nucleosome assembly protein 1 like 1
ILMN_1853344	2.20e-01	1.34e-01	-1.522075	-5.004602	-0.2596195	24727138		
ILMN_2377733	1.40e-01	7.69e-02	1.802951	-5.004831	0.2771846	122056469	CASP8	caspase 8
ILMN_1805827	1.12e-01	5.87e-02	-1.930396	-5.005442	-0.2024971	78482607	PPA1	pyrophosphatase (inorganic) 1
ILMN_1754400	1.29e-01	6.95e-02	1.851426	-5.006375	0.1631639	NA		
ILMN_2119535	1.16e-01	6.13e-02	1.910364	-5.006813	0.1415225	951227836	RIPK1	receptor interacting serine/threonine kinase 1
ILMN_1760991	3.14e-01	2.09e-01	-1.271487	-5.007451	-0.3151265	NA		
ILMN_1654691	1.60e-01	9.05e-02	1.723044	-5.007581	0.2361234	206725536	FKBP3	FK506 binding protein 3
ILMN_1795754	2.29e-01	1.41e-01	-1.495068	-5.007881	-0.4299226	530788321	CLIC2	chloride intracellular channel 2
ILMN_2411127	1.47e-01	8.15e-02	-1.774881	-5.010368	-0.2972912	930155605	YBEY	ybeY metallopeptidase (putative)
ILMN_1906948	2.85e-01	1.84e-01	1.344182	-5.010642	0.3096034	2993916		
ILMN_2371379	1.13e-01	5.90e-02	-1.92847	-5.010658	-0.1161494	38569422	ACLY	ATP citrate lyase
ILMN_2163306	1.12e-01	5.85e-02	-1.932037	-5.010887	-0.1231213	557878648	FAM120A	family with sequence similarity 120A
ILMN_1713406	1.13e-01	5.91e-02	-1.92766	-5.011251	-0.1728252	166091447	WASH3P	WAS protein family homolog 3 pseudogene
ILMN_1798061	1.16e-01	6.11e-02	1.912164	-5.01131	0.1351692	198041764	ZFYVE26	zinc finger FYVE-type containing 26
ILMN_1882112	2.04e-01	1.22e-01	1.571073	-5.011434	0.2454032	27831083		
ILMN_1680171	1.23e-01	6.52e-02	-1.881285	-5.011606	-0.1304404	457866834	MFF	mitochondrial fission factor
ILMN_1765532	1.54e-01	8.59e-02	1.748864	-5.012469	0.1587788	67906819	NELFE	negative elongation factor complex member E
ILMN_1705464	1.19e-01	6.30e-02	-1.897613	-5.012561	-0.1807324	169646343	MRPL41	mitochondrial ribosomal protein L41
ILMN_1730816	1.18e-01	6.21e-02	1.90459	-5.013106	0.36221	9951912	GPR162	G protein-coupled receptor 162
ILMN_1654690	1.17e-01	6.17e-02	-1.907529	-5.013313	-0.1591321	51093855	CECR5	cat eye syndrome chromosome region, candidate 5
ILMN_1803824	1.89e-01	1.11e-01	-1.620405	-5.013322	-0.1793038	297206866	ZDHHC9	zinc finger DHHC-type containing 9
ILMN_2376553	2.74e-01	1.76e-01	-1.372186	-5.013618	-0.3319149	217330611	SLC23A1	solute carrier family 23 member 1
ILMN_1790162	1.39e-01	7.64e-02	1.805938	-5.013618	0.3082591	NA		
ILMN_1770732	1.13e-01	5.92e-02	-1.926946	-5.013666	-0.1938706	312284088	COPS3	COP9 signalosome subunit 3
ILMN_1671263	2.19e-01	1.33e-01	-1.525256	-5.013826	-0.2927826	53832008	CACNA1H	calcium voltage-gated channel subunit alpha1 H
ILMN_2407235	2.17e-01	1.31e-01	-1.532736	-5.01399	-0.3681412	NA		
ILMN_1696510	1.64e-01	9.34e-02	-1.707428	-5.01411	-0.1883498	NA		
ILMN_1672589	1.14e-01	5.98e-02	1.922307	-5.014453	0.1790649	155029563	SEMA4B	semaphorin 4B
ILMN_2332795	1.88e-01	1.10e-01	-1.623032	-5.014851	-0.2411426	38045953	ZNF16	zinc finger protein 16
ILMN_1753002	1.13e-01	5.90e-02	1.928307	-5.016419	0.323988	254281336	RAB2B	RAB2B, member RAS oncogene family
ILMN_1860095	2.84e-01	1.83e-01	1.347057	-5.016506	0.2978753	7794699		
ILMN_1656482	1.15e-01	6.01e-02	1.919781	-5.016664	0.1985847	520975369	OSBPL2	oxysterol binding protein like 2
ILMN_1800512	1.32e-01	7.13e-02	1.839448	-5.016774	0.2044249	298676487	HMOX1	heme oxygenase 1
ILMN_1682736	1.58e-01	8.87e-02	-1.732999	-5.016779	-0.1644927	NA		
ILMN_1714065	1.97e-01	1.17e-01	-1.59476	-5.016971	-0.2277807	NA		
ILMN_1766264	2.23e-01	1.36e-01	-1.514384	-5.017672	-0.5933348	70780383	PI16	peptidase inhibitor 16
ILMN_2047430	2.04e-01	1.21e-01	1.573802	-5.018289	0.2266712	58532582	MARCH5	membrane associated ring-CH-type finger 5
ILMN_2231985	1.92e-01	1.12e-01	-1.613031	-5.018818	-0.1952881	48928055	HSPA13	heat shock protein family A (Hsp70) member 13
ILMN_1804789	1.33e-01	7.19e-02	-1.835121	-5.019257	-0.1405962	299829244	CCAR2	cell cycle and apoptosis regulator 2
ILMN_1749109	1.04e-01	5.33e-02	1.9753	-5.019295	0.1073274	991820343	PSAP	prosaposin
ILMN_1801121	1.46e-01	8.08e-02	1.778978	-5.019549	0.1751536	54607090	SENP2	SUMO1/sentrin/SMT3 specific peptidase 2
ILMN_1664499	3.03e-01	1.99e-01	-1.299468	-5.02024	-0.2758583	223633955	PLEKHG7	pleckstrin homology and RhoGEF domain containing G7
ILMN_2413264	2.28e-01	1.39e-01	-1.500109	-5.020803	-0.2582679	40807478	SOCS4	suppressor of cytokine signaling 4
ILMN_2397571	1.62e-01	9.21e-02	-1.714269	-5.021116	-0.1674551	24430185	PIGC	phosphatidylinositol glycan anchor biosynthesis class C
ILMN_1733963	2.93e-01	1.91e-01	1.322524	-5.021937	0.255499	NA		
ILMN_1811775	1.92e-01	1.13e-01	1.61108	-5.022176	0.2246004	209969698	CCDC124	coiled-coil domain containing 124
ILMN_1664025	2.47e-01	1.55e-01	1.442809	-5.022865	0.3546417	115511034	PXMP4	peroxisomal membrane protein 4
ILMN_1863484	3.18e-01	2.13e-01	-1.260655	-5.023419	-0.432397	81178413		
ILMN_1836570	2.41e-01	1.49e-01	1.46265	-5.023668	0.2286582	27878817		
ILMN_1659766	1.36e-01	7.43e-02	-1.819225	-5.024109	-0.2024225	62530382	BAG3	BCL2 associated athanogene 3
ILMN_1655941	2.81e-01	1.81e-01	-1.355299	-5.024175	-0.3536726	NA		
ILMN_1659437	1.15e-01	6.02e-02	1.918718	-5.024587	0.1140901	153791420	TXNDC17	thioredoxin domain containing 17
ILMN_1698985	1.75e-01	1.01e-01	-1.668913	-5.024998	-0.1944349	312176364	DCAF6	DDB1 and CUL4 associated factor 6
ILMN_1735735	1.29e-01	6.97e-02	1.850273	-5.025144	0.147029	83779013	KATNB1	katanin regulatory subunit B1
ILMN_1768551	1.26e-01	6.73e-02	-1.866802	-5.025149	-0.2951051	NA		
ILMN_1709043	1.17e-01	6.16e-02	1.908209	-5.025176	0.1575492	332635094	PLGRKT	plasminogen receptor with a C-terminal lysine
ILMN_1859207	1.37e-01	7.49e-02	-1.815666	-5.025776	-0.2029721	10836611		
ILMN_1728069	2.97e-01	1.94e-01	1.314333	-5.0272	0.3666608	1001624513	DDX19A	DEAD-box helicase 19A
ILMN_1703132	1.19e-01	6.29e-02	-1.898309	-5.027697	-0.1906723	115430225	LYRM2	LYR motif containing 2
ILMN_1737953	3.05e-01	2.01e-01	-1.293712	-5.028046	-0.4546903	260064073	MKS1	Meckel syndrome, type 1
ILMN_1735006	1.87e-01	1.09e-01	-1.627048	-5.028735	-0.2251556	1042779804	ATG2B	autophagy related 2B
ILMN_1900513	3.76e-01	2.62e-01	1.132586	-5.029282	0.4243912	6990275		
ILMN_1674522	1.15e-01	6.03e-02	-1.91777	-5.029394	-0.150813	153085460	HIGD1A	HIG1 hypoxia inducible domain family member 1A
ILMN_1750158	1.23e-01	6.55e-02	1.879421	-5.029531	0.2973547	297206871	ACOX1	acyl-CoA oxidase 1
ILMN_1662174	1.54e-01	8.58e-02	-1.749178	-5.029933	-0.2289462	1003088804	ORMDL3	ORMDL sphingolipid biosynthesis regulator 3
ILMN_1686370	2.60e-01	1.65e-01	1.408686	-5.030506	0.3518555	507588253	PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase
ILMN_1759789	2.25e-01	1.37e-01	1.509376	-5.0308	0.2096629	332205929	KAT5	lysine acetyltransferase 5
ILMN_1718961	1.15e-01	6.07e-02	1.915199	-5.030822	0.2382698	47078259	BNIP3L	BCL2 interacting protein 3 like
ILMN_1751644	2.58e-01	1.63e-01	1.412679	-5.032887	0.3362348	336455029	LIMS1	LIM zinc finger domain containing 1
ILMN_1715540	2.70e-01	1.73e-01	1.381093	-5.033778	0.3398797	40807468	TRAIP	TRAF interacting protein
ILMN_1702837	1.19e-01	6.29e-02	-1.898591	-5.033907	-0.1143871	300388181	PSMD1	proteasome 26S subunit, non-ATPase 1
ILMN_1799579	2.54e-01	1.60e-01	-1.424564	-5.033947	-0.2983832	379698840	CCDC51	coiled-coil domain containing 51
ILMN_1660477	2.93e-01	1.91e-01	-1.324455	-5.034463	-0.4563423	NA		
ILMN_1761199	3.50e-01	2.39e-01	-1.189207	-5.035235	-0.5391324	312176372	SLCO2B1	solute carrier organic anion transporter family member 2B1
ILMN_2356068	1.21e-01	6.39e-02	-1.890754	-5.035299	-0.1250556	281427101	CDK13	cyclin dependent kinase 13
ILMN_1673397	2.53e-01	1.59e-01	-1.426544	-5.035312	-0.2449776	NA		
ILMN_1732725	1.21e-01	6.45e-02	-1.886788	-5.035375	-0.1281316	255918189	PPP6R3	protein phosphatase 6 regulatory subunit 3
ILMN_1705769	2.75e-01	1.77e-01	-1.368666	-5.035675	-0.2493245	315467865	IL7	interleukin 7
ILMN_1717877	1.16e-01	6.07e-02	1.914845	-5.035842	0.1763758	54144638	IVNS1ABP	influenza virus NS1A binding protein
ILMN_1669940	1.81e-01	1.05e-01	-1.6473	-5.03661	-0.2014994	409264656	TMEM38B	transmembrane protein 38B
ILMN_1739508	1.16e-01	6.10e-02	-1.912821	-5.037758	-0.3794386	NA		
ILMN_1684083	2.23e-01	1.36e-01	1.512941	-5.037939	0.2441757	61175226	RNASE10	ribonuclease A family member 10 (inactive)
ILMN_1782897	1.45e-01	8.01e-02	-1.782997	-5.038138	-0.1340954	61676202	CAPRIN1	cell cycle associated protein 1
ILMN_1839083	3.35e-01	2.27e-01	-1.221919	-5.03841	-0.3352757	27838013		
ILMN_1853631	1.55e-01	8.70e-02	-1.742858	-5.039232	-0.1693597	27839616		
ILMN_2294431	2.47e-01	1.54e-01	1.444138	-5.039269	0.2461455	567316251	CDC25C	cell division cycle 25C
ILMN_1682775	2.18e-01	1.32e-01	1.530581	-5.039642	0.241702	269995985	EDN1	endothelin 1
ILMN_1718988	1.03e-01	5.30e-02	1.977938	-5.039815	0.127534	211904132	DAZAP2	DAZ associated protein 2
ILMN_1900733	3.96e-01	2.79e-01	-1.092777	-5.040182	-0.4854108	35831		
ILMN_1696254	1.58e-01	8.86e-02	1.733654	-5.040597	0.2033587	188497710	CYB5D2	cytochrome b5 domain containing 2
ILMN_1748437	3.07e-01	2.03e-01	1.288399	-5.040651	0.2917203	NA		
ILMN_1861247	2.94e-01	1.92e-01	-1.320487	-5.040746	-0.4073882	14399242		
ILMN_1756942	1.17e-01	6.17e-02	-1.907577	-5.040868	-0.13428	289191312	SP3	Sp3 transcription factor
ILMN_1895742	2.54e-01	1.59e-01	1.426331	-5.041406	0.3507513	6993329		
ILMN_2244484	2.93e-01	1.91e-01	-1.323281	-5.041802	-0.3576538	242117992	KYAT3	kynurenine aminotransferase 3
ILMN_1763745	1.68e-01	9.58e-02	1.6947	-5.041882	0.3274124	815890925	CCNJL	cyclin J like
ILMN_1668586	2.94e-01	1.92e-01	1.320064	-5.04328	0.5316478	531990807	KCND1	potassium voltage-gated channel subfamily D member 1
ILMN_2131828	1.60e-01	9.03e-02	-1.724146	-5.044026	-0.3453134	134268643	KIR3DL1	killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1
ILMN_1707710	2.25e-01	1.37e-01	1.507761	-5.045344	0.2283535	343432608	SLC6A13	solute carrier family 6 member 13
ILMN_1689400	1.19e-01	6.30e-02	-1.897476	-5.047875	-0.2915417	NA		
ILMN_1732830	2.18e-01	1.32e-01	-1.528718	-5.048105	-0.2939092	NA		
ILMN_1668924	2.64e-01	1.68e-01	1.397708	-5.048377	0.3055255	227497860	BEGAIN	brain enriched guanylate kinase associated
ILMN_1754842	1.52e-01	8.49e-02	1.754581	-5.048469	0.1754975	620597365	DLGAP4	DLG associated protein 4
ILMN_1654563	2.55e-01	1.60e-01	1.423043	-5.049208	0.2238859	183603932	EFNB1	ephrin B1
ILMN_1673544	1.71e-01	9.82e-02	-1.682174	-5.050057	-0.1830068	754502054	TCEANC2	transcription elongation factor A N-terminal and central domain containing 2
ILMN_1747598	1.18e-01	6.22e-02	1.903475	-5.050801	0.1028689	109637789	PPP1R11	protein phosphatase 1 regulatory inhibitor subunit 11
ILMN_1782991	2.80e-01	1.81e-01	1.356119	-5.05092	0.2927627	NA		
ILMN_1709142	1.97e-01	1.17e-01	-1.594507	-5.050943	-0.3640196	315570280	PURA	purine rich element binding protein A
ILMN_2385866	1.60e-01	9.04e-02	-1.723615	-5.051418	-0.1507423	237757304	PHF1	PHD finger protein 1
ILMN_2340908	2.11e-01	1.27e-01	1.551413	-5.05166	0.2057533	544063452	SCML1	sex comb on midleg-like 1 (Drosophila)
ILMN_1685327	2.28e-01	1.40e-01	1.497537	-5.052239	0.4831897	520263002	SON	SON DNA binding protein
ILMN_1769702	1.56e-01	8.78e-02	1.737939	-5.052807	0.168703	83367079	GPAA1	glycosylphosphatidylinositol anchor attachment 1
ILMN_1804539	1.41e-01	7.71e-02	-1.801462	-5.053493	-0.233712	148230342	GPR89B	G protein-coupled receptor 89B
ILMN_1659753	1.19e-01	6.26e-02	1.900443	-5.053621	0.2296882	169790831	LAMP2	lysosomal associated membrane protein 2
ILMN_1660852	2.16e-01	1.30e-01	-1.536423	-5.055038	-0.1855987	118766346	ZC3H6	zinc finger CCCH-type containing 6
ILMN_1711227	1.26e-01	6.77e-02	1.86369	-5.055555	0.1426924	359718931	GMDS	GDP-mannose 4,6-dehydratase
ILMN_1772702	1.19e-01	6.29e-02	-1.898641	-5.056374	-0.1562134	513126882	SRSF8	serine and arginine rich splicing factor 8
ILMN_1666471	1.18e-01	6.24e-02	-1.902346	-5.056663	-0.1339603	98986462	UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII
ILMN_1695827	1.19e-01	6.33e-02	-1.89581	-5.057524	-0.121707	56790944	PPP1CA	protein phosphatase 1 catalytic subunit alpha
ILMN_1716062	2.83e-01	1.83e-01	-1.348533	-5.057653	-0.4998543	50845427	MYL4	myosin light chain 4
ILMN_1655733	2.62e-01	1.66e-01	1.403008	-5.05853	0.3666146	525343556	RFC2	replication factor C subunit 2
ILMN_1735573	3.36e-01	2.28e-01	-1.220329	-5.058611	-0.4838998	116686105	DPH1	diphthamide biosynthesis 1
ILMN_1815895	1.18e-01	6.25e-02	1.901677	-5.058826	0.6203272	NA		
ILMN_1916457	1.35e-01	7.33e-02	1.825986	-5.05977	0.1794429	30051873		
ILMN_2395236	2.59e-01	1.64e-01	-1.411884	-5.059819	-0.2351959	54112404	CHEK2	checkpoint kinase 2
ILMN_1679917	1.43e-01	7.86e-02	-1.792306	-5.060284	-0.2240751	1045561326	ARL16	ADP ribosylation factor like GTPase 16
ILMN_1842394	3.13e-01	2.08e-01	1.275418	-5.060454	0.2598668	4330032		
ILMN_2386179	1.47e-01	8.13e-02	-1.775949	-5.060478	-0.1316335	574957058	ZMYND8	zinc finger MYND-type containing 8
ILMN_1661488	2.42e-01	1.50e-01	1.459448	-5.061743	0.3387871	NA		
ILMN_2355168	1.51e-01	8.42e-02	1.758699	-5.061924	0.2925123	386781865	MGST1	microsomal glutathione S-transferase 1
ILMN_1666564	1.21e-01	6.41e-02	-1.889548	-5.061961	-0.1325916	NA		
ILMN_1799487	1.36e-01	7.42e-02	1.82021	-5.062441	0.1528262	119226226	N4BP2L1	NEDD4 binding protein 2 like 1
ILMN_1733983	1.54e-01	8.61e-02	-1.74763	-5.062715	-0.3807014	NA		
ILMN_1653165	1.90e-01	1.12e-01	-1.617498	-5.062934	-0.2163429	700584727	AAMP	angio associated migratory cell protein
ILMN_1774823	1.36e-01	7.39e-02	1.821998	-5.063341	0.1481657	984880774	RPL34	ribosomal protein L34
ILMN_1728403	3.10e-01	2.06e-01	1.280153	-5.063778	0.3793706	NA		
ILMN_1843387	2.69e-01	1.72e-01	-1.384497	-5.064337	-0.2074421	23652133	SEMA4F	ssemaphorin 4F
ILMN_1714216	1.88e-01	1.10e-01	-1.62338	-5.06487	-0.2324018	974005368	TSC2	tuberous sclerosis 2
ILMN_1808115	1.58e-01	8.86e-02	-1.733704	-5.065014	-0.1752885	532691749	ATP7A	ATPase copper transporting alpha
ILMN_1670076	3.04e-01	2.00e-01	1.296979	-5.06537	0.2932811	56676336	FAM155B	family with sequence similarity 155 member B
ILMN_1661985	2.58e-01	1.63e-01	1.412659	-5.066469	0.2743588	NA		
ILMN_1660602	1.96e-01	1.16e-01	1.59704	-5.067346	0.2990133	663070983	C1orf43	chromosome 1 open reading frame 43
ILMN_1768488	1.37e-01	7.44e-02	-1.818623	-5.067874	-0.1252347	429535831	TERF2	telomeric repeat binding factor 2
ILMN_1740864	1.40e-01	7.65e-02	1.805324	-5.068566	0.3245446	532164730	TREML2	triggering receptor expressed on myeloid cells like 2
ILMN_1737517	2.84e-01	1.84e-01	-1.345722	-5.06877	-0.3160782	17105395	RPL29	ribosomal protein L29
ILMN_1693367	3.10e-01	2.06e-01	-1.280918	-5.068775	-0.2947308	560575698	TPD52	tumor protein D52
ILMN_1690209	2.28e-01	1.39e-01	1.499532	-5.068964	0.5207096	630044857	C1orf186	chromosome 1 open reading frame 186
ILMN_1748105	2.67e-01	1.70e-01	-1.389264	-5.069092	-0.2412329	NA		
ILMN_1733155	2.26e-01	1.38e-01	-1.505133	-5.069712	-0.2180134	146231980	GIT1	GIT ArfGAP 1
ILMN_1720059	1.54e-01	8.61e-02	-1.747522	-5.069859	-0.3109698	1024389567	HMBOX1	homeobox containing 1
ILMN_1766505	1.29e-01	6.94e-02	-1.85179	-5.071605	-0.172931	809281398	COMMD10	COMM domain containing 10
ILMN_1690911	1.49e-01	8.29e-02	-1.766586	-5.072313	-0.1635849	141802576	C16orf87	chromosome 16 open reading frame 87
ILMN_1691117	1.21e-01	6.39e-02	1.890829	-5.07244	0.2219248	38505265	DNTTIP1	deoxynucleotidyltransferase terminal interacting protein 1
ILMN_1856044	2.59e-01	1.64e-01	1.411608	-5.072776	0.5241982	3049145		
ILMN_2089875	1.31e-01	7.08e-02	1.842385	-5.072852	0.3026978	662033900	TNFSF4	tumor necrosis factor superfamily member 4
ILMN_1751656	1.27e-01	6.81e-02	-1.861334	-5.073274	-0.2646248	NA		
ILMN_1913476	2.28e-01	1.40e-01	1.497479	-5.07362	0.1941431	12671740	CLSPN	claspin
ILMN_2358382	2.30e-01	1.41e-01	1.493151	-5.073765	0.3333058	528524503	ZFYVE1	zinc finger FYVE-type containing 1
ILMN_1713219	3.61e-01	2.49e-01	1.165339	-5.073876	0.2990074	NA		
ILMN_1658740	3.25e-01	2.18e-01	1.245142	-5.073963	0.4625812	NA		
ILMN_1769960	2.77e-01	1.78e-01	1.365646	-5.074119	0.2406846	1007360641	GPS1	G protein pathway suppressor 1
ILMN_1757877	1.25e-01	6.66e-02	1.871507	-5.074186	0.1170783	568815617	HCFC1R1	host cell factor C1 regulator 1
ILMN_1727977	2.58e-01	1.63e-01	1.414121	-5.074222	0.2074638	NA		
ILMN_2317348	1.36e-01	7.41e-02	-1.820977	-5.074408	-0.117773	305410827	APTX	aprataxin
ILMN_1689160	1.20e-01	6.38e-02	-1.891547	-5.075422	-0.2256873	385862229	DPEP2	dipeptidase 2
ILMN_1809695	1.23e-01	6.56e-02	-1.878592	-5.075978	-0.1791586	325197145	CAMK2G	calcium/calmodulin dependent protein kinase II gamma
ILMN_2123567	1.40e-01	7.64e-02	1.805739	-5.076209	0.1553184	54607090	SENP2	SUMO1/sentrin/SMT3 specific peptidase 2
ILMN_2108823	1.54e-01	8.64e-02	1.746287	-5.076293	0.1352501	4503832	FZD7	frizzled class receptor 7
ILMN_1709204	1.20e-01	6.37e-02	1.8923	-5.076349	0.2007862	148536835	CLEC4A	C-type lectin domain family 4 member A
ILMN_1765872	1.91e-01	1.12e-01	1.616205	-5.076621	0.1870957	597709785	SIPA1L3	signal induced proliferation associated 1 like 3
ILMN_1898826	3.04e-01	2.01e-01	-1.295598	-5.076819	-0.328474	13572203		
ILMN_2171295	1.76e-01	1.02e-01	1.663848	-5.076859	0.2929263	560231605	CDK14	cyclin dependent kinase 14
ILMN_1777526	1.23e-01	6.57e-02	-1.877709	-5.07717	-0.1149569	768711645	MED20	mediator complex subunit 20
ILMN_2399174	1.49e-01	8.25e-02	-1.768954	-5.077232	-0.186201	388490360	TRAK1	trafficking kinesin protein 1
ILMN_1873107	1.40e-01	7.65e-02	1.805133	-5.078078	0.3002592	9870067	CEP19	centrosomal protein 19
ILMN_2394132	1.31e-01	7.08e-02	1.842332	-5.078334	0.264421	145701026	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7
ILMN_1654313	1.59e-01	8.95e-02	-1.728421	-5.07876	-0.2682389	NA		
ILMN_1684497	1.67e-01	9.53e-02	-1.697545	-5.079033	-0.358222	229577390	PYROXD2	pyridine nucleotide-disulphide oxidoreductase domain 2
